fecha,activo,direction,monto,resultado,ganancia_perdida,rsi_9,rsi_14,sma_5,sma_20,cruce_sma,breakout,rsi_reversion,racha_actual,es_rebote,ciclo_martingala,payout_total,payout_multiplier,puntaje_estrategia,result_bin,trade_status,epoch,ts,ia_prob_en_juego,ia_prob_source,ia_decision_id,ia_gate_real,ia_modo_ack,ia_ready_ack
2026-02-22 18:19:53,1HZ100V,PUT,1.0,PENDIENTE,,48.04,26.2,1510.2900000000002,1519.1104999999998,1,1,1,0,0,1,1.95,1.95,1.0,,PRE_TRADE,1771802393,2026-02-22T23:19:53.140398+00:00,,,fulll47|1771802393|C1|1HZ100V|PUT|BUOUMG8VGG7BUHW,,,
2026-02-22 18:21:56,1HZ100V,PUT,1.0,GANANCIA,0.95,48.04,26.2,1510.2900000000002,1519.1104999999998,1,1,1,0,0,1,1.95,1.95,1.0,1,CERRADO,1771802393,2026-02-22T23:21:56.853884+00:00,,OFF,fulll47|1771802393|C1|1HZ100V|PUT|DEMO,0.85,OFF,False
2026-02-22 18:22:41,1HZ100V,PUT,1.0,PENDIENTE,,0.01,35.48,1507.762,1516.833,1,1,0,1,0,1,1.95,1.95,0.666667,,PRE_TRADE,1771802561,2026-02-22T23:22:41.661995+00:00,,,fulll47|1771802561|C1|1HZ100V|PUT|BUOUMG8VGG7BUHW,,,
2026-02-22 18:24:45,1HZ100V,PUT,1.0,PÉRDIDA,-1.0,0.01,35.48,1507.762,1516.833,1,1,0,1,0,1,1.95,1.95,0.666667,0,CERRADO,1771802561,2026-02-22T23:24:45.103003+00:00,,NO_READY,fulll47|1771802561|C1|1HZ100V|PUT|DEMO,0.85,MODELO,False
2026-02-22 18:25:33,1HZ75V,PUT,2.0,PENDIENTE,,54.37,56.88,3287.898,3292.368,1,1,0,-1,0,2,3.9,1.95,0.666667,,PRE_TRADE,1771802733,2026-02-22T23:25:33.957341+00:00,,,fulll47|1771802733|C2|1HZ75V|PUT|BUOUMG8VGG7BUHW,,,
2026-02-22 18:27:37,1HZ75V,PUT,2.0,GANANCIA,1.9,54.37,56.88,3287.898,3292.368,1,1,0,-1,0,2,3.9,1.95,0.666667,1,CERRADO,1771802733,2026-02-22T23:27:37.388191+00:00,,NO_READY,fulll47|1771802733|C2|1HZ75V|PUT|DEMO,0.85,MODELO,False
2026-02-22 18:28:21,1HZ100V,PUT,1.0,PENDIENTE,,60.12,55.08,1505.3919999999998,1511.142,1,1,0,1,0,1,1.95,1.95,0.666667,,PRE_TRADE,1771802901,2026-02-22T23:28:21.958326+00:00,,,fulll47|1771802901|C1|1HZ100V|PUT|BUOUMG8VGG7BUHW,,,
2026-02-22 18:30:24,1HZ100V,PUT,1.0,PÉRDIDA,-1.0,60.12,55.08,1505.3919999999998,1511.142,1,1,0,1,0,1,1.95,1.95,0.666667,0,CERRADO,1771802901,2026-02-22T23:30:24.999104+00:00,,NO_READY,fulll47|1771802901|C1|1HZ100V|PUT|DEMO,0.85,MODELO,False
2026-02-22 18:31:23,1HZ50V,PUT,2.0,PENDIENTE,,32.17,34.42,247965.07599999997,248641.47149999999,1,1,0,-1,0,2,3.91,1.955,0.666667,,PRE_TRADE,1771803083,2026-02-22T23:31:23.307481+00:00,,,fulll47|1771803083|C2|1HZ50V|PUT|BUOUMG8VGG7BUHW,,,
2026-02-22 18:33:27,1HZ50V,PUT,2.0,PÉRDIDA,-2.0,32.17,34.42,247965.07599999997,248641.47149999999,1,1,0,-1,0,2,3.91,1.955,0.666667,0,CERRADO,1771803083,2026-02-22T23:33:27.010717+00:00,,NO_READY,fulll47|1771803083|C2|1HZ50V|PUT|DEMO,0.85,MODELO,False
2026-02-22 18:34:12,1HZ25V,CALL,4.0,PENDIENTE,,37.63,38.07,781372.058,780858.4795,1,1,0,-2,0,3,7.81,1.9525,0.666667,,PRE_TRADE,1771803252,2026-02-22T23:34:12.720854+00:00,,,fulll47|1771803252|C3|1HZ25V|CALL|BUOUMG8VGG7BUHW,,,
2026-02-22 18:36:16,1HZ25V,CALL,4.0,PÉRDIDA,-4.0,37.63,38.07,781372.058,780858.4795,1,1,0,-2,0,3,7.81,1.9525,0.666667,0,CERRADO,1771803252,2026-02-22T23:36:16.389928+00:00,,NO_READY,fulll47|1771803252|C3|1HZ25V|CALL|DEMO,0.85,MODELO,False
2026-02-22 18:38:06,1HZ50V,PUT,8.0,PENDIENTE,,56.76,47.82,247758.47599999997,248154.87149999998,1,1,0,-3,0,4,15.62,1.9525,0.666667,,PRE_TRADE,1771803486,2026-02-22T23:38:06.076906+00:00,,,fulll47|1771803486|C4|1HZ50V|PUT|BUOUMG8VGG7BUHW,,,
2026-02-22 18:40:10,1HZ50V,PUT,8.0,GANANCIA,7.62,56.76,47.82,247758.47599999997,248154.87149999998,1,1,0,-3,0,4,15.62,1.9525,0.666667,1,CERRADO,1771803486,2026-02-22T23:40:10.162054+00:00,,NO_READY,fulll47|1771803486|C4|1HZ50V|PUT|DEMO,0.85,MODELO,False
2026-02-22 18:40:54,1HZ100V,CALL,1.0,PENDIENTE,,61.56,58.49,1507.24,1506.4854999999998,1,1,0,1,0,1,1.95,1.95,0.666667,,PRE_TRADE,1771803654,2026-02-22T23:40:54.710675+00:00,,,fulll47|1771803654|C1|1HZ100V|CALL|BUOUMG8VGG7BUHW,,,
2026-02-22 18:42:58,1HZ100V,CALL,1.0,PÉRDIDA,-1.0,61.56,58.49,1507.24,1506.4854999999998,1,1,0,1,0,1,1.95,1.95,0.666667,0,CERRADO,1771803654,2026-02-22T23:42:58.152092+00:00,,NO_READY,fulll47|1771803654|C1|1HZ100V|CALL|DEMO,0.85,MODELO,False
